"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"KS",1021655,967443,1023853,1042824,1041990,1054934,1092737,985347,980598,1059341,1095136,1062264,1007182,1069132,1054191,1013120,1025694,1071788,1012033,1064382,1042921,975856,1009734,1025133,1019891,1051798,1007587,952117,1009007,1046348,922720,951293,971194,1046839,1158546,1068603,996261,981628,937434,972532,974925,972522,923007,888300,855697,803696,740785,774687,733457,669329,653992,652921,631342,642284
"KY",1721569,1727818,1844363,1871959,1792273,1905673,1948362,1941105,1925961,1900200,1820496,1871804,1859285,1827742,1820983,1752419,1781631,1728052,1716778,1646921,1661842,1542465,1497408,1497217,1491372,1524725,1407234,1374149,1339447,1322667,1265635,1248454,1299710,1327614,1333123,1330897,1314319,1312994,1183735,1234728,1241641,1231944,1160400,1137419,1052495,964928,924305,861653,849440,817223,770927,675208,644704,641895
"LA",3423911,3530442,3685376,3666357,3349925,3637117,3812304,3741914,3598459,3718379,3557610,3698549,3556762,4058492,3766800,3760031,4017871,3855948,3780464,3753111,3626206,3584269,3463299,3480395,3408049,3310609,3240229,3198208,3035766,3247510,3150869,3384211,3723068,3729543,3935657,4036671,3888131,3505819,3065475,3333230,3269861,3041852,2864705,2798423,2673079,2362943,2192788,1951862,1803816,1838401,1716992,1548587,1542254,1478136
"ME",250265,240762,265237,273880,275592,282683,307499,309570,335943,357353,346829,364609,337142,317588,279855,266396,272037,267488,260617,276601,262103,264956,256891,262470,268774,290276,244406,257552,216843,214910,186169,240058,200094,203550,226072,247306,265721,261566,225489,262292,297429,307109,285582,234466,221443,209627,199893,188104,179455,185160,181461,181578,187858,172763
"MD",856249,861646,906436,968564,983549,1020565,1068845,1053010,1145584,1119642,1105086,1074775,1070902,1079014,1076762,1042893,1018884,996342,971454,981516,966836,931935,950363,972926,1066392,1012721,979347,918904,896474,950943,867263,849284,884336,931731,1021342,976921,942719,1002384,932758,1064811,1129734,1057667,1026551,999838,968253,931641,884963,874560,838758,786614,738466,706904,655025,653175
"MA",1044370,975004,1065308,1099970,1065374,1146192,1187959,1139143,1243449,1225441,1255558,1235051,1213976,1212799,1191419,1222998,1259934,1177188,1171729,1202051,1192967,1224249,1181634,1193833,1270204,1210414,1215790,1191667,1124586,1128092,1032186,1069855,1041381,1102905,1153568,1337045,1360838,1376898,1303763,1344703,1472387,1477303,1422733,1411009,1334057,1305706,1273738,1199355,1200090,1070292,1026062,1056164,1029121,1003509
"MI",2313647,2192319,2261564,2309519,2294891,2436176,2537854,2518412,2707276,2693277,2668035,2718365,2696677,2765145,2816016,2682230,2748587,2764050,2687150,2624544,2546050,2549349,2528795,2539936,2500225,2506919,2389541,2347758,2312402,2257487,2164233,2219564,2386903,2540598,2677953,2680644,2609950,2756521,2722464,2734673,2843661,2796340,2693009,2606089,2638851,2544393,2415433,2348852,2185722,2049650,1981844,1894552,1775982,1749660
"MN",1329936,1282265,1332428,1338027,1331761,1439665,1442273,1410901,1453089,1430093,1436926,1387050,1351457,1399806,1334525,1308404,1317647,1351308,1282620,1226256,1205752,1151940,1129436,1120416,1130229,1090755,983212,940444,966583,977019,918747,943291,959502,1026141,1130447,1169316,1142413,1141308,1079978,1116360,1143882,1096820,1035648,1035274,1018904,937336,879610,887899,832667,794593,755471,744211,705278,698970
"MS",946665,994899,945964,1002874,917765,965162,1021664,975965,943241,956259,935258,937857,1019599,916049,928274,840606,829735,824010,794568,765499,757787,737400,737416,740422,693602,726876,684473,664947,657909,692844,648794,691840,684623,728821,772537,761024,719141,667199,646755,696766,721816,732308,690432,655445,601996,561281,497516,471118,426309,432565,397433,355809,333754,331302
"MO",1698747,1635111,1727957,1736231,1687472,1771679,1813089,1824405,1852077,1820898,1800742,1729447,1728611,1652686,1726845,1702874,1653923,1629508,1546823,1461479,1370124,1364340,1372898,1367658,1406461,1409248,1346048,1318553,1342403,1399771,1355545,1350438,1359167,1415260,1511898,1540831,1539454,1494223,1415499,1404839,1440338,1374721,1311202,1283516,1212891,1129260,1051081,1024624,999645,952669,920621,900758,845831,844692
"MT",417397,398409,415050,441675,427449,473888,484247,463827,453599,440392,416250,399064,407459,411968,423719,407191,384909,368633,391059,395943,366036,380633,366102,355744,369658,359928,305795,307771,298202,278253,237542,231593,259516,285443,319285,302622,293359,284566,254506,254825,264904,246554,235751,228809,216995,193926,181977,196235,187063,198667,193220,191483,183312,168648
"NE",705947,665716,689319,664250,630506,627641,600031,588021,577874,573535,576480,561882,566663,556267,566299,580056,556197,544977,523299,491521,487945,447654,464676,454096,454618,473304,422755,403672,426130,441300,425688,417314,408633,443193,471488,469153,479248,480970,458857,466217,481908,471415,447324,446120,419522,398013,365075,367124,326174,331460,321618,313920,301225,296596
"NV",566886,543976,524894,574035,603809,623335,631726,633243,709629,675588,613060,580596,617663,627032,566877,559762,516624,520717,482245,485827,450458,438853,422811,401019,410970,397969,350518,339310,303594,336054,323697,324772,321615,302396,323506,306999,317673,298071,282577,277243,278729,262732,204432,164602,150774,138361,122059,119190,107198,104493,95742,90053,82345,71392
"NH",213646,222582,241643,240831,247778,275624,275050,277415,307662,312854,298382,242705,231818,239474,229675,226124,225101,211257,206531,205450,201923,198543,195245,204880,218846,213078,209560,191404,180158,178784,151753,152233,156790,171810,175334,187221,192741,188326,171397,172715,186966,191881,182290,173836,162627,142815,126839,122302,111632,112743,114145,110597,103761,91739
"NJ",1707921,1659122,1805925,1783692,1737702,1951131,1995302,1858689,1977285,1922599,1889588,1902698,1880506,1924730,1988140,1897612,1970902,1926849,1941308,1941860,1805748,1812852,1683162,1656883,1822481,1751095,1782674,1701309,1670755,1776128,1677488,1647633,1626717,1660034,1646945,1660529,1692484,1752270,1581981,1780025,1954945,1913556,1844943,1894906,1830486,1779426,1712873,1626946,1529314,1496861,1454075,1416528,1323117,1269402
"NM",759589,760455,782538,753031,795307,792309,814542,812327,798068,794602,779480,757243,795336,796216,768657,760775,767980,719146,700340,722297,728784,711024,689359,738565,684303,650080,622386,574820,619445,625307,656914,626803,616367,635910,590949,586558,609696,635061,587880,607705,600448,609628,569640,547791,474090,472900,450530,411207,397002,384225,373997,364672,329724,318433
