"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"MT",67,53,26,23,20,16,11,7,5,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NE",59,54,50,41,33,31,28,23,17,12,13,13,14,14,15,16,15,16,16,16,10,10,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NV",10589,7763,5828,4412,3420,3125,1675,919,782,660,631,606,563,492,441,344,260,223,177,133,97,93,68,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NH",286,214,168,128,93,78,65,56,47,40,28,30,33,35,38,39,39,41,41,30,29,28,28,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NJ",23531,19292,11519,6220,3764,2931,2404,1956,1607,1327,1117,856,564,555,574,565,527,523,495,477,427,409,388,371,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM",5122,4197,1996,560,266,233,201,203,203,270,316,355,398,454,510,540,561,593,601,604,597,596,592,583,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NY",6304,5190,3674,2641,1995,1686,1379,1170,905,686,580,563,548,546,552,547,532,508,444,390,329,307,285,270,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NC",5309,2931,1400,1052,465,338,207,184,131,98,92,107,118,134,148,157,161,168,166,168,168,166,164,164,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ND",10,8,7,6,5,4,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OH",2184,1878,908,609,339,255,210,197,179,162,139,126,104,103,102,87,54,37,33,30,27,23,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OK",60,52,48,39,33,31,27,24,24,30,39,48,57,67,76,82,82,86,88,90,91,91,91,91,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR",3370,3075,2733,2193,1755,1515,1242,1004,837,757,737,711,694,663,673,642,618,586,526,473,421,384,357,318,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PA",4797,4277,3591,1790,964,798,646,563,484,449,399,428,434,458,487,507,525,529,507,495,473,469,459,452,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RI",122,101,86,64,55,50,40,34,26,21,24,27,30,33,36,38,40,42,43,43,44,44,42,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC",141,132,121,60,48,43,35,29,25,22,23,24,24,24,25,25,23,16,16,17,17,16,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD",9,9,8,7,6,5,4,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TN",678,268,150,128,45,38,34,31,31,35,40,46,51,54,60,62,62,62,62,62,62,61,61,60,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TX",4005,3082,1859,1193,791,663,597,568,557,567,572,569,570,569,589,570,505,506,487,471,441,430,424,378,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UT",385,280,171,111,77,56,48,41,39,40,42,41,43,46,48,51,52,55,52,52,40,41,40,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT",730,500,330,184,129,104,71,58,46,39,35,32,30,29,28,24,23,20,17,13,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",1105,1046,916,749,616,569,474,385,306,236,210,193,156,143,143,143,142,140,137,134,131,130,130,129,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",679,548,411,288,211,173,146,139,138,175,210,247,281,305,341,355,367,376,380,382,382,380,370,370,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WV",125,116,92,69,59,57,51,46,44,43,30,33,36,38,41,43,44,46,39,32,32,32,32,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WI",791,767,605,456,347,283,207,174,158,168,181,187,194,204,222,234,236,244,240,223,221,217,211,207,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WY",20,14,7,6,4,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
