"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"LA",1714734,1734447,1910187,1955695,1805651,2019070,2139483,2134970,1981681,2076168,1964209,1998903,1974995,2179390,1980955,1855764,1934800,1963129,1827026,1874307,1766485,1741232,1652297,1616832,1577460,1592095,1507167,1530199,1434849,1467130,1571824,1690774,1851702,1864908,1881754,1683213,1612257,1384453,1210709,1264615,1197697,1045837,926147,904199,888969,823193,752397,706264,647367,636956,588217,498286,477643,474366
"ME",188574,174117,193626,195475,205599,206393,234493,235957,264446,260436,265831,230335,228077,259567,266344,253313,256601,251840,244085,253701,239535,232123,236482,247484,258086,280086,234810,245709,209130,207431,177800,230438,194666,198380,223131,244422,263071,258433,222202,258700,294354,304153,281806,230986,216033,204216,193500,180181,171463,177078,168920,163757,168353,152355
"MD",487521,475021,488403,508001,531199,523903,549593,552897,609336,590627,571171,548507,567294,548060,569264,543751,510445,503262,483580,521655,518543,494480,492641,505878,571920,533837,516303,485990,484683,518002,486336,472197,496729,533066,601001,627558,617824,607423,593744,671759,695344,650963,587909,528963,465137,439144,412962,432689,410386,391729,374135,369798,348291,353293
"MA",571057,542979,581939,593149,584359,641697,670055,665452,743882,737435,731288,712311,740865,740425,716597,746097,725633,676538,675150,719166,742826,767855,780009,806247,888060,877161,866210,903158,793313,803792,749698,798432,849386,910163,991052,1171918,1195364,1215761,1124696,1161590,1309978,1307422,1251351,1240542,1134996,1084097,1042416,969544,956456,838679,810169,844126,824032,804152
"MI",862435,803400,817651,835318,843529,869921,944584,946406,997937,994136,982234,1004024,987314,1001551,1039667,986703,982139,952434,933698,912994,911249,877678,874689,872559,912675,912761,880637,849206,813477,782362,747495,746104,818011,906921,1038657,1215450,1171225,1143698,1076686,1082115,1122822,1074922,992050,955946,941769,899740,845674,824911,791968,762926,752371,739395,715934,713539
"MN",608922,619370,616230,622541,618823,666845,700688,697917,719289,711179,695409,673526,673101,678058,661046,631858,631434,632926,600918,579114,559573,539001,509760,503176,503961,501724,487483,494537,481991,489240,461265,467753,450467,498781,568355,601379,584983,599352,556970,575700,602695,583137,527910,512540,498804,471756,433085,450691,424437,401736,398146,391381,375005,381584
"MS",434202,426025,414084,424004,411891,426574,461954,470108,456358,480755,481163,428969,480421,456490,472889,462232,433354,418781,395595,402351,423635,399918,385111,374556,365560,380858,349765,335981,315518,312277,308422,314655,352613,382916,452226,511993,477851,420966,378055,379081,370802,330920,289155,272830,253247,234586,207905,185720,174663,181308,173733,155710,142508,142675
"MO",632148,629548,649328,675167,673770,700137,745884,747255,752881,753136,747467,730168,725840,678138,772032,746380,698521,703061,674037,656746,624355,600782,580375,586751,603397,607529,583517,561897,548757,537348,526956,544309,535419,560979,659254,694907,667840,644501,613436,610901,632214,612174,584950,571738,561709,544142,494895,476567,462059,437226,430814,420625,403214,403712
"MT",172592,169254,172966,167865,180641,195272,208512,195464,183918,176336,157326,161872,156699,165647,173363,159730,160643,166631,156243,148939,149921,139925,135170,142518,143626,135577,133297,133376,151835,140890,148137,130161,143948,163762,186764,172339,163950,166976,154686,158441,156544,146352,133181,126185,129142,124371,111585,118314,110731,123370,121282,120133,116849,107011
"NE",238966,236986,235928,245674,220152,224899,232350,230641,230597,236890,232603,225660,218211,224817,248488,245892,232513,234021,212387,208923,202327,203501,200712,205221,206908,215970,200722,191865,189428,187555,195879,185018,176568,189768,224926,246648,231477,229816,208450,210201,214261,211548,195540,192290,182827,177882,158865,151512,140640,147264,151333,141550,138496,136156
"NV",227114,216819,213642,233411,243275,266230,290571,294952,279472,263973,243032,237867,250425,235957,227485,222084,214461,224354,208299,200616,191385,178824,174377,168955,175210,166119,153949,141955,135759,135725,138761,128404,130674,147165,138660,149421,127202,115572,115924,109092,110678,103146,96029,90445,87395,84601,75858,72023,69910,75680,71673,67694,62185,54547
