"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"LA",1501107,1576093,1525136,1471322,1302632,1359699,1423511,1341886,1363427,1389515,1349390,1470652,1341778,1625863,1558295,1679040,1857072,1687569,1737257,1649015,1637028,1619499,1596766,1654692,1622888,1506424,1560707,1496106,1441820,1661309,1472328,1629186,1847639,1862179,2051384,2349710,2274100,2121366,1854766,2068614,2072164,1996015,1938558,1894224,1784110,1539750,1440390,1245597,1156449,1201445,1128773,1050301,1064610,1003771
"ME",65892,70451,75061,80988,73569,74494,67227,67557,64818,89581,73523,126280,101190,48047,6690,5813,6501,5883,5635,5268,5191,5333,5001,4572,3930,3283,2747,2549,2620,2528,2487,2758,2384,2322,2162,2166,2047,2083,1976,1635,1657,1554,1475,1315,1139,819,775,522,0,0,0,0,0,0
"MD",209419,216678,199223,217744,203780,202931,208693,189221,212230,201929,204511,203538,184976,219360,203040,195540,219192,201735,199202,192016,186992,190092,183035,180591,199615,178433,174283,158032,155966,163124,148687,160833,177743,163449,179631,139642,135168,149642,141854,175541,177629,180283,164689,159584,147720,129702,121287,102826,100979,94255,89004,84796,76520,73315
"MA",454496,430921,464018,447429,408519,415260,418922,378078,386385,383708,415303,404597,364114,357743,361351,367109,411555,387390,391646,381289,350626,344458,283833,273910,260989,217305,233398,191195,224794,215021,196611,199790,187528,185508,157883,161964,161465,157185,154583,156666,157258,162204,158329,149074,138632,133913,129884,117709,115712,108193,99924,92131,84630,80612
"MI",832101,804084,787337,758696,750783,797534,814887,816993,927535,938628,950714,984715,928651,984345,968282,893988,1010167,1039190,992718,930970,937967,979182,905265,898848,799774,765708,671201,689448,719871,730312,713170,764600,814488,874654,880367,793936,745743,895140,894795,942595,929555,877742,863320,821261,788222,711046,699131,626782,563563,505780,470503,459179,422582,382980
"MN",478832,430286,424978,427198,405564,435134,395714,358211,372239,362418,374231,374184,345002,367461,351143,337128,360439,375019,357690,327384,331590,312218,318250,291828,301686,285827,239751,244528,258510,256405,246315,263349,264951,284988,332631,312196,292501,319516,331518,351995,360450,352111,352144,343007,328944,315017,285350,265810,248244,236502,218609,221625,199324,186121
"MS",428423,499946,437873,444875,371245,364237,374990,315909,310713,290512,275147,354550,340904,312078,317777,252445,264210,277468,295377,266219,235310,250696,257004,261921,232394,216397,212336,220195,233010,276617,244281,276666,249062,270909,260547,208038,202631,203702,235345,283104,321528,387436,387779,369391,333993,319377,288650,284500,250626,250528,222937,199391,190591,187874
"MO",281486,258945,275308,282141,266721,298427,277987,258004,273401,269224,266204,278936,288617,289044,269262,261504,286117,297208,281059,268135,280680,241227,258636,241335,254547,254440,234493,244318,264318,269458,265541,284479,287767,322908,340138,360269,367704,381399,371837,411933,424673,428192,432108,432532,406671,372856,367195,357396,347967,332023,309136,299614,284094,270074
"MT",82299,75234,79470,72888,76635,77645,75077,75135,71089,68567,70048,70992,66482,69590,63624,61398,61699,63251,59571,53315,54265,46615,46719,44378,46671,42872,39561,41148,47312,47098,46619,52782,53029,61453,69114,72686,71595,75412,81190,81667,93117,87020,91096,90601,78205,62835,64908,72116,70795,69486,66566,65680,61314,57638
"NE",179612,161774,173666,169620,165436,172886,153523,131443,120141,116046,119754,121176,124058,127600,121368,131125,132141,133842,133690,124857,122981,104626,113955,109175,118673,119906,107737,103999,123864,131911,126963,135612,135279,159491,168959,162693,188426,197442,217521,223253,230780,226358,225463,224114,209613,202938,187907,195864,164719,160545,145771,149324,144566,140430
"NV",282311,281432,255970,267808,284007,274915,262547,257595,236007,221649,191050,181010,181256,194126,159981,154656,135497,126894,112502,104950,87532,81224,68175,66888,65577,48370,41705,35784,41630,44749,44693,49891,78744,62020,85539,66305,74534,71205,65355,67689,77967,75223,71965,56868,46700,39177,36822,36305,29395,25579,20681,18141,16419,12883
"NH",55633,74336,72778,62612,62049,74025,64866,64738,73022,63924,56475,26146,24848,26397,20496,19338,21249,19445,20137,19976,17087,17004,14226,14474,14209,13334,12317,10569,10916,10815,9857,10280,10445,9663,8699,8204,7617,7919,7707,8391,8120,8015,7658,6796,5826,4208,4522,4197,4133,3817,3607,3431,3124,2952
