"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"MD",16477,15764,24748,16267,18434,19453,16331,20872,17035,25115,26801,16897,12229,17674,14564,17740,16222,25410,14870,20730,17095,18871,14686,23913,18548,13705,16796,19597,15919,21113,18573,14018,14902,13189,22684,17981,21053,21663,24049,20562,22490,23688,18576,20009,14193,16728,20060,13767,11925,11633,10175,12124,12132,14609
"MA",9460,8683,11161,9720,11723,11389,7882,15004,10418,9999,10886,8902,7259,10866,9966,10500,10537,12290,8958,9676,9096,10454,11635,12995,4212,2190,3228,4095,2740,3098,2920,2632,4496,1642,4537,2215,4408,5084,4342,4465,5820,8918,7395,7904,9202,8140,8337,8368,6938,7011,7424,8352,8664,10570
"MI",13539,11561,13188,12200,13390,13445,12553,15080,14616,15420,14031,16981,16139,14564,14913,14246,17489,18442,16470,17127,18163,18432,18280,16934,7818,6191,5010,7527,10416,11181,12934,12655,12963,12464,13524,11243,9716,10890,11553,12347,10947,18608,18613,17878,19758,19887,20555,18954,18954,16169,14353,17996,19038,21839
"MN",4877,5339,7250,8199,7897,7164,6462,5671,7747,7395,8248,8231,8593,9501,12056,9734,10567,12275,11324,11747,11864,10988,10823,8915,8519,6988,9015,11289,10169,10138,11292,10518,9808,8169,9493,11205,6991,6095,9539,9586,10977,10810,10265,9379,10492,10467,9000,12348,11420,9884,8817,10199,7852,9542
"MS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MO",10843,6797,11515,15018,17731,20169,11904,1976,11592,14823,6606,13804,11409,6120,18949,23928,16272,13584,19784,19768,32829,15319,11682,22802,11415,15595,15077,20847,31272,16570,18048,17311,6994,5797,11386,10532,4739,7677,13315,17884,20858,6354,7368,9733,14988,13867,6691,6209,8387,3339,3948,9297,13203,7807
"MT",91959,107373,122382,91849,92778,98536,92557,100481,95864,88702,88105,97324,68337,98167,141344,113370,136921,142640,110811,84070,99112,85537,124919,111476,99844,85043,92992,113416,106294,116014,121624,114163,118359,103522,107096,121308,88278,128649,105784,101543,78121,98024,100529,91769,98712,92806,90810,82695,87692,71354,63011,67678,69208,62415
"NE",10723,11962,15713,12818,4233,3414,3434,8861,8714,9145,9924,11165,11616,15309,17579,17160,17080,16564,14706,13533,10326,11122,10902,11859,12083,13940,16329,17528,15051,14037,14157,12672,12510,13875,12899,12303,12738,13240,12624,13509,14243,14240,14243,14383,12929,13040,12135,12107,11663,10489,10626,10298,9884,10317
"NV",25588,23223,21284,21047,24015,17251,19800,20410,17022,16177,17787,23068,25974,24783,28916,32287,26421,22381,20021,19352,20331,20536,24682,18048,19391,21587,26316,47889,45386,58602,43064,14850,18072,24643,17771,17263,16874,16125,17583,16711,17340,16222,17582,17271,17772,18195,18073,18755,16668,16913,18910,20822,18617,21164
"NH",13617,12270,15592,14415,16402,16094,12506,15165,17987,13179,13479,11607,10236,14559,14432,16282,16561,19845,14126,15075,14542,14413,16544,19567,13987,11591,10955,13157,11811,13105,14234,13064,14231,10666,12544,11718,14652,15718,13013,15298,16759,13178,11455,13006,15036,12527,12543,12781,11003,12053,13516,14336,12664,14775
"NJ",174,102,237,177,313,254,207,351,311,376,394,122,186,143,177,211,188,197,113,156,196,231,225,326,-2542,-2257,-3220,-2989,-2550,-2570,-2394,-2321,-2413,-2934,-2933,-1797,-1744,-2546,-2834,-2944,-3457,-2254,-3236,-4228,-3957,-3555,-2103,-1369,-326,203,165,238,199,480
"NM",876,2120,1892,2117,2645,3077,2649,1966,1650,1392,1728,2692,2452,2256,2482,2411,2643,2187,2722,2196,3029,2638,2474,2137,2423,1036,1711,1738,1336,979,933,821,920,977,702,312,291,790,660,766,675,210,285,690,668,447,367,706,448,99,457,672,553,745
"NY",238270,234593,272019,248502,269523,263330,249596,271232,257799,240280,245720,254812,238527,254103,253117,298933,312702,299356,268042,286695,303531,290162,283568,293214,258900,249157,289431,310381,284044,279993,277676,267231,270643,275016,274181,270151,267952,299209,294729,300864,305067,288472,266456,262884,278145,260179,244545,229856,204632,190456,202901,220654,193379,130051
"NC",65838,35475,37828,46405,50471,29894,29495,38079,53960,54439,72910,35525,26821,32009,37674,58512,57457,61546,56931,74196,51412,59657,61052,70936,72984,29871,53146,26330,42766,66493,64610,56538,30631,56992,81961,56802,55167,58632,73417,71948,73898,66816,62001,45896,51767,49104,52532,45605,56294,62661,45736,57979,50281,53782
"ND",17674,23573,25068,19923,14398,12345,12903,15087,13417,15483,17455,16202,13764,21652,26681,23412,33903,32580,25341,19151,14588,17570,18333,17799,19748,19447,20654,24300,22699,24656,25010,26687,23518,26107,28325,31437,20812,33937,34806,28501,24749,32122,33900,29536,30703,25989,28905,20088,26105,19646,15547,13651,14982,11407
"OH",5240,3941,3728,4186,5151,3808,4057,6268,5157,7310,5172,4968,5278,5948,4326,4144,5182,4109,2395,1978,1955,2618,1609,1887,1354,1929,2345,1801,1827,1708,1424,56,58,63,46,49,61,85,77,101,86,92,93,78,88,87,106,101,111,102,87,180,221,210
"OK",20781,10901,14641,27403,34673,37556,30303,6185,26301,29814,18209,20222,24228,23227,32472,35779,29834,22311,28667,25941,44921,33526,20059,28404,24950,21111,30718,30826,41579,24415,26301,21847,11724,13655,24049,18267,18254,15986,30646,37489,39073,15020,14488,14751,19701,15869,7572,5335,8622,3203,1998,7720,10668,7582
"OR",315785,375027,411131,297970,322407,333115,331978,375437,309453,331337,336660,350085,295984,388818,466705,406882,476985,464333,420363,322069,369723,328033,428798,428982,396494,357979,369450,425898,426032,486873,474208,472761,336166,313951,309204,330634,254455,367033,359650,375956,292446,378605,360068,313901,291449,212612,186321,174133,172561,156986,142933,140560,133046,134134
"PA",24088,21334,31258,22753,26185,25116,22100,28211,22320,31604,33881,22488,17049,23363,19906,24283,22970,31145,20935,28367,24499,26658,20041,29845,15018,7282,11790,15173,10149,15107,12310,19120,6894,7628,12651,7875,12573,14685,16402,14541,14256,15916,8159,14336,9570,12294,19969,15027,13888,13404,13420,16037,15858,19646
"RI",42,41,72,36,46,49,43,59,67,55,61,37,32,50,62,88,77,107,95,96,97,103,104,103,50,0,0,0,0,21,32,36,1,13,35,42,37,34,36,47,47,62,14,35,39,49,55,21,18,41,37,58,85,93
"SC",30152,13515,15100,23185,22760,11067,15379,17923,29379,24508,37112,14138,12663,15643,17255,36397,30212,31445,35650,31309,30413,34237,32470,34306,21296,7017,23016,13223,19169,33169,32589,25396,13136,31421,40983,33227,31831,35418,45926,36082,40597,34744,36515,24064,32273,28098,27688,27188,36758,45563,28027,32377,34488,38849
"SD",38761,56915,64205,51110,43261,29494,28834,33693,30743,36033,43298,44290,35461,58304,68282,58710,92042,82489,61974,52908,26712,37355,39950,40926,47805,54573,56119,59917,55711,59734,58133,56725,55461,60436,65839,70777,55241,73146,82484,59110,50250,77141,81497,69037,66340,58692,51427,50500,40479,32372,30493,15855,12160,12437
"TN",118721,78942,93037,79392,99669,55636,48823,76859,93086,104248,121537,81116,71778,65248,79783,110189,112731,118569,99290,124080,92309,103534,113470,104180,123649,47402,78827,55630,68316,106288,104700,102125,61827,91045,127403,91006,108482,98277,122852,122871,118976,115536,98699,84656,78115,80288,100437,79494,91464,95169,80947,101734,93175,93352
"TX",4580,5562,5471,12310,10040,10243,16254,6566,13324,13027,9077,11429,12403,8456,11455,14529,18289,9925,17565,15788,18416,27284,23216,18657,15034,12751,22482,20603,14636,10767,11648,10738,11972,10171,12448,7923,12199,11080,20052,17035,17663,8615,9220,10550,13279,13790,6043,8195,7771,4748,5009,8446,13143,11859
"UT",4818,7116,11952,6785,8152,6583,5325,7407,7844,4506,4266,4657,5253,7611,12835,13406,13728,10846,9990,7742,8866,6230,6543,5289,5859,6123,8919,14756,10646,14519,14663,10710,6512,8533,8303,7601,7898,11717,11181,9828,11537,12691,10312,7776,11673,10575,11206,8235,9545,8003,3691,4148,2459,3275
"VT",12269,10555,13843,13140,14502,14711,6391,15064,12107,11892,11685,11342,9137,12456,12227,12176,10902,12733,10030,10715,10116,9530,10986,14199,10927,9074,10367,10910,9635,9904,10583,8849,10482,8449,9624,9055,10001,11302,9761,10352,11005,9774,7778,8244,9447,8214,8498,8750,7464,6944,7229,8431,8219,9396
"VA",11961,9933,11760,14636,14431,9962,12338,13402,14842,15856,18038,8832,10480,7263,6971,13086,10420,14771,10261,11823,13539,11273,11271,13621,4421,-1970,8692,781,8833,12337,12725,9830,3813,9264,15977,13328,7448,9208,13637,11328,13694,14609,11771,7254,7369,8157,8410,7953,9234,8987,9174,13334,12602,13634
"WA",745678,851343,892101,666221,711823,765033,779148,813434,720674,716902,726537,795189,565565,818762,991813,813870,1063894,1018675,850742,676477,693923,706614,932377,909829,746181,707279,727530,824820,804970,871017,900136,916871,979462,863361,823176,921159,695150,979802,871063,861367,717005,787585,750108,729600,705605,668963,614437,550134,515280,492089,451952,417596,397880,369596
"WV",16590,13622,14118,13340,16064,12298,12398,15597,14474,13204,13730,10842,9836,11740,9513,11077,11630,14735,12299,11818,11485,13145,11118,13471,13633,10196,10475,10979,11052,11879,11672,11691,11392,11571,12754,9579,9840,10643,11058,11985,12214,12937,12012,10449,9946,9948,10950,7989,8657,9462,8400,10971,11101,10097
"WI",18880,14486,20859,20603,13605,15925,14985,16650,17400,19838,18663,25585,21247,20255,20294,17818,25362,27877,24527,22987,25634,24837,26264,20954,15394,15363,16425,25264,26594,24411,26886,25315,22386,21970,23745,24563,19003,17132,21193,21096,25389,25043,23363,19980,22542,24866,21620,21371,22276,16029,16253,22565,21486,25814
"WY",6782,8502,11890,9989,9434,8231,7210,8365,8083,5941,6010,5937,9084,10314,11967,13688,14101,12737,8234,9256,8118,6574,7680,6705,7098,8145,7999,11904,11157,13423,12097,8883,8790,11511,10905,10178,7951,10822,11657,14734,12562,12167,13748,10562,11460,9976,8229,9608,9243,9147,9211,10298,6737,6552
