"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"ME",161369,138827,159918,156795,153478,186724,156450,152922,160070,136781,132354,140393,146153,163031,159191,151245,161832,167221,160888,156739,158155,159037,157263,151631,154426,118029,116377,122771,136042,139329,140252,126910,129795,121124,76896,74889,72689,70099,60423,64263,64648,59882,55423,59420,61658,59840,58337,55812,51675,55936,58874,55672,56575,59784
"MD",78018,71121,78661,68848,66630,60089,58020,59327,48535,53456,54157,41120,33274,54125,50890,52662,53176,66230,52077,52991,49263,46673,41676,50546,55480,46241,47753,54649,55151,60086,52085,51599,45447,45823,66329,59254,59569,56373,55834,52381,55059,56117,49264,51782,45515,47752,49500,42103,39019,37440,35457,36002,35723,38447
"MA",81031,90973,73618,71516,69035,60458,59456,62094,46905,51759,50403,46788,47992,69458,65165,66411,72313,78432,72546,73475,69748,68432,66581,65262,66832,61835,60278,69642,65453,65032,78596,66642,73207,72495,74298,67677,63357,60502,53325,56959,56501,59302,61247,65043,64611,62101,58183,58117,55636,54148,52762,53590,52769,53354
"MI",195479,169572,164269,150737,148898,157580,139667,129274,130667,118099,112614,99468,99009,118381,111272,108892,116019,124245,109950,108911,106060,113223,110852,102170,115863,122565,116158,116002,114217,114761,122339,109127,108871,103039,73877,66270,54719,52481,47458,50587,47225,56203,53960,54309,56624,56320,56539,56828,55858,52769,51374,53745,55209,59100
"MN",233732,230415,229250,219500,201489,177341,150570,127800,123121,114684,107490,103930,107990,104661,98815,87852,89962,85310,85656,81524,78156,72616,65666,60978,64348,61444,60506,66440,68755,66022,62679,58968,56622,54794,53947,50237,36725,35632,36949,35899,36452,35695,33768,32822,34190,33828,32385,35031,34786,33210,32328,34382,32478,34957
"MS",70230,85114,72249,72189,56261,49886,63934,63186,62798,61253,45347,49642,56086,75390,65132,64176,84292,85760,94383,95203,92918,90830,89510,84868,76403,47412,45439,49196,50892,50468,45071,44643,41070,38097,37510,37576,36230,34819,31152,31279,32195,32432,32841,33527,34609,35452,34261,37816,37759,38448,39154,44673,45532,46565
"MO",94515,81866,89502,93701,90828,83048,60856,42583,54315,44032,34636,37806,33112,23299,33912,38059,31337,31823,38254,38887,52647,37090,32520,43152,37840,44194,40982,49423,62542,47136,44094,43954,30527,30880,55940,49657,37981,39537,40414,44031,43807,29355,30407,33344,39601,39086,31558,33010,35404,31229,33299,40239,45068,41442
"MT",117716,127352,142686,115871,116425,125402,119559,123311,114892,101636,100453,108730,80652,113792,157019,128284,153271,158531,127489,94370,109032,95817,142264,123370,110781,103727,111016,133794,120845,130479,135671,126686,130992,114608,119406,132188,97331,135822,112007,106573,84637,104348,107251,98397,106143,100651,98163,90332,95505,79375,70429,74894,76550,69936
"NE",136286,132480,143753,128011,86248,84133,63429,54678,51511,52083,45527,44190,43391,43687,44611,42666,41932,38424,33382,24719,20857,21140,19436,19705,22067,22964,24830,26645,24632,22853,21516,19739,18113,19778,16832,16096,16136,16378,15399,16161,16912,16822,15845,15950,14532,14714,13879,13955,13563,12801,13199,12973,12832,13425
"NV",75634,65247,58901,56828,54579,44760,42149,41962,38200,38043,37194,42511,46025,47142,51196,54339,48281,43109,41377,39088,41374,37485,39507,30068,30608,24397,28996,52238,49989,63057,47194,18717,21800,27403,19804,18980,18381,17457,18827,17762,18356,17274,18651,18322,18771,19142,18985,19632,17544,17842,19804,21733,19545,22110
